trial_id,study_name,sampler,timestamp,state,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_trees_mean,n_trees_std,f1_macro_mean,f1_macro_std,train_time_s,n_folds,seed,split_cfg
random_000,random,RandomSampler,2026-06-11T21:40:59,FAIL,7.27492e-03,10,1.57030e+00,0.7993,0.5780,,,,,,,42,GroupKFold(3)
random_001,random,RandomSampler,2026-06-11T21:51:09,COMPLETE,7.27492e-03,10,1.57030e+00,0.7993,0.5780,500.0,0.0,0.8626,0.0164,937.09,3,42,GroupKFold(3)
random_002,random,RandomSampler,2026-06-11T22:06:47,COMPLETE,2.28533e-03,3,3.96761e+00,0.8006,0.8540,500.0,0.0,0.7987,0.0172,179.32,3,42,GroupKFold(3)
random_003,random,RandomSampler,2026-06-11T22:09:46,COMPLETE,1.11523e-03,10,3.14288e+00,0.6062,0.5909,500.0,0.0,0.8511,0.0160,743.47,3,42,GroupKFold(3)
random_004,random,RandomSampler,2026-06-11T22:22:10,COMPLETE,2.64253e-03,5,3.75206e-01,0.7160,0.6456,500.0,0.0,0.8327,0.0187,225.05,3,42,GroupKFold(3)
random_005,random,RandomSampler,2026-06-11T22:25:56,COMPLETE,2.55795e-02,4,7.52374e-02,0.6832,0.7280,499.7,0.5,0.8615,0.0149,174.51,3,42,GroupKFold(3)
random_006,random,RandomSampler,2026-06-11T22:28:50,COMPLETE,6.40787e-02,4,3.48902e-01,0.7962,0.5232,407.3,121.2,0.8682,0.0150,141.59,3,42,GroupKFold(3)
random_007,random,RandomSampler,2026-06-11T22:31:12,COMPLETE,2.50022e-02,4,1.56731e-02,0.9744,0.9828,500.0,0.0,0.8599,0.0149,197.32,3,42,GroupKFold(3)
random_008,random,RandomSampler,2026-06-11T22:34:30,COMPLETE,7.24680e-02,5,1.96343e-02,0.8421,0.7201,337.3,149.4,0.8693,0.0162,144.33,3,42,GroupKFold(3)
random_009,random,RandomSampler,2026-06-11T22:36:55,PRUNED,1.90903e-03,6,1.26814e-02,0.9547,0.6294,,,0.8289,,,,42,GroupKFold(3)
random_010,random,RandomSampler,2026-06-11T22:39:53,COMPLETE,3.34567e-02,5,3.63249e-01,0.7734,0.5924,455.7,62.0,0.8684,0.0145,178.21,3,42,GroupKFold(3)
random_011,random,RandomSampler,2026-06-11T22:42:52,COMPLETE,1.70233e-01,9,6.58411e+00,0.9474,0.7989,82.3,18.0,0.8699,0.0161,90.02,3,42,GroupKFold(3)
random_012,random,RandomSampler,2026-06-11T22:44:22,COMPLETE,1.32209e-01,3,3.87212e-02,0.5226,0.6627,315.3,129.8,0.8645,0.0150,92.58,3,42,GroupKFold(3)
random_013,random,RandomSampler,2026-06-11T22:45:55,PRUNED,7.84076e-03,5,3.06346e+00,0.6784,0.6405,,,0.8464,,,,42,GroupKFold(3)
random_014,random,RandomSampler,2026-06-11T22:49:25,PRUNED,1.77321e-02,4,2.55030e+00,0.5373,0.9934,,,0.8550,,,,42,GroupKFold(3)
random_015,random,RandomSampler,2026-06-11T22:52:19,COMPLETE,5.98354e-02,4,1.03888e-02,0.9077,0.8534,373.7,98.4,0.8663,0.0141,129.45,3,42,GroupKFold(3)
random_016,random,RandomSampler,2026-06-11T22:54:29,COMPLETE,4.75847e-02,9,1.66776e-02,0.6792,0.5579,210.7,70.1,0.8701,0.0163,259.37,3,42,GroupKFold(3)
random_017,random,RandomSampler,2026-06-11T22:58:49,COMPLETE,9.68338e-02,7,9.83318e-02,0.5318,0.6555,144.7,44.3,0.8694,0.0159,104.29,3,42,GroupKFold(3)
random_018,random,RandomSampler,2026-06-11T23:00:33,PRUNED,5.60088e-03,8,8.17848e-01,0.9436,0.7361,,,0.8550,,,,42,GroupKFold(3)
random_019,random,RandomSampler,2026-06-11T23:07:55,PRUNED,1.88447e-03,8,1.91582e+00,0.7806,0.8855,,,0.8369,,,,42,GroupKFold(3)
random_020,random,RandomSampler,2026-06-11T23:12:56,COMPLETE,1.36848e-02,7,1.91700e-01,0.5127,0.5539,498.7,1.9,0.8641,0.0167,310.11,3,42,GroupKFold(3)
random_021,random,RandomSampler,2026-06-11T23:18:06,PRUNED,1.18119e-03,8,8.77138e-02,0.7543,0.9538,,,0.8342,,,,42,GroupKFold(3)
random_022,random,RandomSampler,2026-06-11T23:23:22,PRUNED,3.74653e-03,6,1.84779e+00,0.6144,0.5385,,,0.8335,,,,42,GroupKFold(3)
random_023,random,RandomSampler,2026-06-11T23:26:10,PRUNED,4.64223e-03,4,6.15309e+00,0.9041,0.8167,,,0.8222,,,,42,GroupKFold(3)
random_024,random,RandomSampler,2026-06-11T23:28:13,COMPLETE,1.01218e-01,9,3.62836e-02,0.9463,0.7697,91.7,25.6,0.8676,0.0164,143.83,3,42,GroupKFold(3)
random_025,random,RandomSampler,2026-06-11T23:30:38,COMPLETE,7.21015e-02,10,8.99519e-02,0.5550,0.6140,105.0,19.9,0.8672,0.0167,194.86,3,42,GroupKFold(3)
random_026,random,RandomSampler,2026-06-11T23:33:53,COMPLETE,9.61143e-03,9,3.82113e+00,0.5035,0.7554,500.0,0.0,0.8636,0.0167,509.31,3,42,GroupKFold(3)
random_027,random,RandomSampler,2026-06-11T23:42:22,PRUNED,9.13009e-03,4,2.28874e-02,0.6688,0.9715,,,0.8339,,,,42,GroupKFold(3)
random_028,random,RandomSampler,2026-06-11T23:44:24,PRUNED,5.54242e-03,7,1.28545e+00,0.6818,0.9859,,,0.8507,,,,42,GroupKFold(3)
random_029,random,RandomSampler,2026-06-11T23:50:29,COMPLETE,1.63916e-01,5,3.10274e-01,0.6504,0.6424,139.3,69.1,0.8669,0.0151,74.73,3,42,GroupKFold(3)
random_030,random,RandomSampler,2026-06-11T23:51:44,PRUNED,1.21584e-03,7,3.22134e-01,0.5257,0.6393,,,0.8328,,,,42,GroupKFold(3)
bayesian_000,bayesian,TPESampler,2026-06-11T23:55:19,COMPLETE,7.27492e-03,10,1.57030e+00,0.7993,0.5780,500.0,0.0,0.8626,0.0164,772.14,3,42,GroupKFold(3)
bayesian_001,bayesian,TPESampler,2026-06-12T00:08:11,COMPLETE,2.28533e-03,3,3.96761e+00,0.8006,0.8540,500.0,0.0,0.7987,0.0172,159.17,3,42,GroupKFold(3)
bayesian_002,bayesian,TPESampler,2026-06-12T00:10:51,COMPLETE,1.11523e-03,10,3.14288e+00,0.6062,0.5909,500.0,0.0,0.8511,0.0160,687.81,3,42,GroupKFold(3)
bayesian_003,bayesian,TPESampler,2026-06-12T00:22:19,COMPLETE,2.64253e-03,5,3.75206e-01,0.7160,0.6456,500.0,0.0,0.8327,0.0187,205.75,3,42,GroupKFold(3)
bayesian_004,bayesian,TPESampler,2026-06-12T00:25:45,COMPLETE,2.55795e-02,4,7.52374e-02,0.6832,0.7280,499.7,0.5,0.8615,0.0149,168.89,3,42,GroupKFold(3)
bayesian_005,bayesian,TPESampler,2026-06-12T00:28:34,COMPLETE,6.40787e-02,4,3.48902e-01,0.7962,0.5232,407.3,121.2,0.8682,0.0150,140.50,3,42,GroupKFold(3)
bayesian_006,bayesian,TPESampler,2026-06-12T00:30:55,COMPLETE,2.50022e-02,4,1.56731e-02,0.9744,0.9828,500.0,0.0,0.8599,0.0149,171.22,3,42,GroupKFold(3)
bayesian_007,bayesian,TPESampler,2026-06-12T00:33:47,COMPLETE,7.24680e-02,5,1.96343e-02,0.8421,0.7201,337.3,149.4,0.8693,0.0162,137.51,3,42,GroupKFold(3)
bayesian_008,bayesian,TPESampler,2026-06-12T00:36:04,PRUNED,1.90903e-03,6,1.26814e-02,0.9547,0.6294,,,0.8289,,,,42,GroupKFold(3)
bayesian_009,bayesian,TPESampler,2026-06-12T00:38:56,COMPLETE,3.34567e-02,5,3.63249e-01,0.7734,0.5924,455.7,62.0,0.8684,0.0145,179.39,3,42,GroupKFold(3)
bayesian_010,bayesian,TPESampler,2026-06-12T00:41:56,COMPLETE,1.76518e-01,8,5.62839e-02,0.5090,0.8200,64.7,21.9,0.8661,0.0159,76.12,3,42,GroupKFold(3)
bayesian_011,bayesian,TPESampler,2026-06-12T00:43:12,COMPLETE,8.45994e-02,7,1.01214e-01,0.8918,0.7151,189.7,79.5,0.8690,0.0162,130.92,3,42,GroupKFold(3)
bayesian_012,bayesian,TPESampler,2026-06-12T00:45:23,COMPLETE,1.92479e-01,8,6.55011e-02,0.8968,0.7340,53.3,14.4,0.8658,0.0166,65.46,3,42,GroupKFold(3)
bayesian_013,bayesian,TPESampler,2026-06-12T00:46:29,COMPLETE,7.41242e-02,7,3.30172e-02,0.8844,0.8229,203.3,61.1,0.8692,0.0162,143.42,3,42,GroupKFold(3)
bayesian_014,bayesian,TPESampler,2026-06-12T00:48:53,PRUNED,9.26446e-03,7,2.02957e-02,0.8767,0.8506,,,0.8574,,,,42,GroupKFold(3)
bayesian_015,bayesian,TPESampler,2026-06-12T06:20:42,COMPLETE,7.51288e-02,6,2.91157e-02,0.8419,0.9312,239.7,43.3,0.8702,0.0157,140.37,3,42,GroupKFold(3)
bayesian_016,bayesian,TPESampler,2026-06-12T06:23:03,COMPLETE,4.80672e-02,6,1.71616e-01,0.6444,0.9976,351.3,72.1,0.8704,0.0149,206.15,3,42,GroupKFold(3)
bayesian_017,bayesian,TPESampler,2026-06-12T06:26:29,COMPLETE,1.48016e-02,6,1.64941e-01,0.5943,0.9980,500.0,0.0,0.8620,0.0164,269.74,3,42,GroupKFold(3)
bayesian_018,bayesian,TPESampler,2026-06-12T06:30:59,COMPLETE,4.26538e-02,8,1.07445e+00,0.6471,0.9227,279.7,75.2,0.8692,0.0166,268.73,3,42,GroupKFold(3)
bayesian_019,bayesian,TPESampler,2026-06-12T06:35:29,COMPLETE,1.16811e-01,9,1.75474e-01,0.5055,0.9304,87.7,29.0,0.8689,0.0165,145.26,3,42,GroupKFold(3)
