dimensión,slice,n,F1-Macro,IC_lo,IC_hi,IC_ancho,recall_bajo,recall_medio,recall_alto,brier
sujeto,9,638,0.25048923679060664,0.24005349381477767,0.2596588507597866,0.01960535694500895,,,0.6018808777429467,0.278552770614624
sujeto,1,24985,0.8541511351659752,0.8498233140213858,0.8582382483331882,0.008414934311802402,0.7719057182116056,0.8988107656999791,0.922027618726844,0.07121897488832474
sujeto,5,27233,0.8641930127821537,0.8599255400240976,0.868474889454884,0.008549349430786446,0.7588117298691375,0.9324614483700957,0.9375575329855784,0.06179694210489591
sujeto,6,24999,0.8753566116289306,0.8712296495068129,0.8798235675110913,0.008593918004278334,0.844845467745281,0.9308156140907649,0.856029810298103,0.0586754580338796
sujeto,2,26323,0.8801893817640835,0.8764411900642238,0.8840566164272164,0.007615426362992617,0.9445407279029463,0.834247851744487,0.8497929276839757,0.058036005745331444
sujeto,4,23133,0.8804167799367913,0.8762637868022424,0.8848979838886911,0.008634197086448747,0.8980407076279247,0.8651145602365115,0.8800266607420573,0.05681005741159121
sujeto,3,17426,0.8908046540863529,0.885202345329755,0.8962391948124151,0.01103684948266015,0.9242499750822286,0.8058479532163743,0.9442833471416736,0.04466920221845309
sujeto,7,23268,0.9099888922546078,0.9063495299010774,0.9135853509083333,0.007235821007255838,0.889756498510223,0.9254032258064516,0.914756025867137,0.045884640887379646
sujeto,8,26200,0.9203044963275996,0.9170231690140085,0.9235250759200951,0.006501906906086652,0.9494939759036145,0.9224427812127128,0.8820768997880715,0.0385036530594031
clase,bajo,80613,0.31085834845054133,0.3104172290855888,0.31127969431168545,0.0008624652260966759,0.8736680188058998,,,0.09713273495435715
clase,alto,46314,0.3145546330930876,0.3140639576795498,0.3150799802954893,0.0010160226159394714,,,0.8933367880122641,0.09163346886634827
clase,medio,67278,0.31544272342380436,0.3150158337083217,0.3158657656530263,0.0008499319447046183,,0.8981242010761319,,0.0808551013469696
actividad,saltar,4926,0.2873642873642874,0.28467294792757164,0.28984617549724234,0.005173227569670702,,,0.7576126674786845,0.18561819195747375
actividad,caminar,23861,0.29267566339085593,0.29157332956054927,0.29376279556784973,0.002189466007300467,0.7825740748501739,,,0.15588538348674774
actividad,escaleras_abajo,10485,0.30298300381547,0.30155780648456293,0.3043590939719069,0.002801287487343984,,0.8330948974725799,,0.13430137932300568
actividad,de_pie,18985,0.3058928605362674,0.30489231447922815,0.30678558759449776,0.0018932731152696003,0.8478799051883066,,,0.12359534204006195
actividad,escaleras_arriba,11716,0.3086583856625567,0.3074399423569271,0.3097544629257296,0.0023145205688024917,,0.8621543188801639,,0.11527688801288605
actividad,caminata_nordica,18806,0.31670621074668526,0.3159033470423113,0.3174472966467179,0.0015439496044065693,,0.9049771349569287,,0.0701410099864006
actividad,aspirar,17527,0.31684729457317923,0.3160808275605113,0.31762058390090414,0.0015397563403928283,,,0.9057454213499173,0.07975597679615021
actividad,planchar,23861,0.31803570906753165,0.3174078499760535,0.3187600696950477,0.0013522197189942409,,,0.9122417333724487,0.08095528930425644
actividad,ciclismo,16457,0.32094952996166165,0.3202397012648951,0.3216670335314403,0.0014273322665452337,,0.9283587531141764,,0.057359665632247925
actividad,tumbado,19249,0.32343710994615027,0.3228483389861018,0.3240238678623386,0.0011755288762367866,0.9423346667359344,,,0.047706883400678635
actividad,sentado,18518,0.32410233642266495,0.3235498820228256,0.32467196381064456,0.0011220817878189737,0.9461064909817475,,,0.04567519947886467
actividad,correr,9814,0.3242083224286836,0.3234358059664953,0.324941676242209,0.0015058702757136944,,0.946708783370695,,0.042591750621795654
transición,transicion,588,0.48730712041150825,0.44575032476127485,0.5262684390225789,0.08051811426130406,0.6060606060606061,0.6314102564102564,0.24324324324324326,0.20747331778208414
transición,estable,193617,0.8859755665664674,0.8845952550197616,0.8874285336666154,0.0028332786468538984,0.8742168854415274,0.8993668428754891,0.8948985996580309,0.054830984522898994
